WORK_ID,MP_NAME,CONSTITUENCY_NAME,WORK_CATEGORY,ACTIVITY_NAME,HYBRID_RISK_SCORE,FINAL_RISK_LEVEL,DETECTOR_AGREEMENT,DETECTOR_AGREEMENT_COUNT,INVESTIGATION_PRIORITY,RULE_SCORE,STATISTICAL_SCORE,ISOLATION_FOREST_SCORE,RECOMMENDED_AMOUNT,SANCTION_AMOUNT,ACTUAL_AMOUNT,DISBURSED_AMOUNT,COST_VS_PEER_MEDIAN,PEER_Z_SCORE,TRANSACTION_COUNT,VENDOR_COUNT,MAX_TRANSACTION_AMOUNT,RECOMMENDATION_DATE,SANCTION_DATE,COMPLETION_DATE,DAYS_RECOMMENDATION_TO_SANCTION,DAYS_SANCTION_TO_COMPLETION,SUMMARY,INVESTIGATION_GUIDANCE,DISCLAIMER,FINANCIAL_EVIDENCE,STATISTICAL_EVIDENCE,TRANSACTION_EVIDENCE,TIMELINE_EVIDENCE
232919,Kishan Reddy Gangapuram,Unknown,Normal/Others,WS/MP765/2025-2026/232919-Construction of community centers and community halls,47.97,MEDIUM,STRONG,3,3,28.0,40.0,80.58,3000000.0,3000000.0,,,12.0,,1,1,1358865.0,2025-09-11,2026-02-09,,,,The work shows sanctioned cost is 12.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 12.0}]",[],[],"[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-09-11"", ""sanction_date"": ""2026-02-09"", ""days"": null}]"
156313,EATALA RAJENDER,Unknown,Normal/Others,WS/MP18193/2024-2025/156313-Construction of additional rooms and halls in the existing public and community building,47.95,MEDIUM,STRONG,3,3,28.0,40.0,80.5,3000000.0,3000000.0,,,12.0,,1,1,2959799.0,2024-12-01,2025-03-12,,,,The work shows sanctioned cost is 12.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 12.0}]",[],[],"[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2024-12-01"", ""sanction_date"": ""2025-03-12"", ""days"": null}]"
161368,MADHAVANENI RAGHUNANDAN RAO,Unknown,Normal/Others,"WS/MP18393/2024-2025/161368-Construction of roads, link roads, pathways or any other road with or without drainage system",47.08,MEDIUM,STRONG,3,3,28.0,40.0,77.61,2500000.0,2500000.0,,,10.0,,1,1,2451095.0,2024-12-24,2025-03-21,,,,The work shows sanctioned cost is 10.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 10.0}]",[],[],"[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2024-12-24"", ""sanction_date"": ""2025-03-21"", ""days"": null}]"
200883,Asaduddin Owaisi,Unknown,Normal/Others,WS/MP762/2025-2026/200883-Construction of rooms and halls in school and colleges,46.68,MEDIUM,STRONG,3,3,28.0,40.0,76.28,5600000.0,5600000.0,,,22.4,,0,0,0.0,2025-05-19,2025-10-01,,,,The work shows sanctioned cost is 22.40x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 22.4}]",[],[],"[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-05-19"", ""sanction_date"": ""2025-10-01"", ""days"": null}]"
309577,Asaduddin Owaisi,Unknown,Normal/Others,NA-Purchase of vans and buses for educational institutions,46.39,MEDIUM,STRONG,3,3,28.0,40.0,75.3,4356840.0,4356840.0,,,17.42736,,0,0,0.0,2026-08-29,,,,,The work shows sanctioned cost is 17.43x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 17.42736}]",[],[],[]
209845,DR.MALLU RAVI,Unknown,Normal/Others,"WS/MP18192/2025-2026/209845-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",46.02,MEDIUM,STRONG,3,3,28.0,40.0,74.08,5000000.0,5000000.0,,,20.0,,0,0,0.0,2025-06-17,2025-08-21,,,,The work shows sanctioned cost is 20.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 20.0}]",[],[],"[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-06-17"", ""sanction_date"": ""2025-08-21"", ""days"": null}]"
226250,DR.MALLU RAVI,Unknown,Normal/Others,WS/MP18192/2025-2026/226250-Construction of community centers and community halls,46.02,MEDIUM,STRONG,3,3,28.0,40.0,74.08,5000000.0,5000000.0,,,20.0,,0,0,0.0,2025-08-11,2025-09-09,,,,The work shows sanctioned cost is 20.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 20.0}]",[],[],"[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-08-11"", ""sanction_date"": ""2025-09-09"", ""days"": null}]"
156766,KADIYAM KAVYA,Unknown,Normal/Others,NA-Construction of community centers and community halls,45.88,MEDIUM,STRONG,3,3,28.0,40.0,73.59,5000000.0,5000000.0,,,10.0,,0,0,0.0,2024-12-04,,,,,The work shows sanctioned cost is 10.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 10.0}]",[],[],[]
258151,VAMSI KRISHNA GADDAM,Unknown,Normal/Others,NA-Construction of community centers and community halls,45.88,MEDIUM,STRONG,3,3,28.0,40.0,73.59,5000000.0,5000000.0,,,10.0,,0,0,0.0,2026-02-23,,,,,The work shows sanctioned cost is 10.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 10.0}]",[],[],[]
262008,GODAM NAGESH,Unknown,Normal/Others,NA-Construction of public libraries and reading rooms,45.88,MEDIUM,STRONG,3,3,28.0,40.0,73.59,5000000.0,5000000.0,,,10.0,,0,0,0.0,2026-01-26,,,,,The work shows sanctioned cost is 10.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 10.0}]",[],[],[]
