METRIC,VALUE
TOTAL_WORKS,104517.0
INVESTIGATION_CANDIDATES,7521.0
CANDIDATE_PERCENTAGE,7.19595855219725
RULE_CANDIDATES,5782.0
STATISTICAL_CANDIDATES,2793.0
ML_CANDIDATES,2613.0
TWO_OR_MORE_METHODS,3070.0
ALL_THREE_METHODS,597.0
