WORK_ID,STATE_ID,STATE_NAME,CONSTITUENCY_ID,CONSTITUENCY,MP_ID,MP_NAME,WORK_CATEGORY,ACTIVITY_NAME,WORK_DESCRIPTION,WORK_STAGE,RECOMMENDED_AMOUNT,SANCTION_AMOUNT,TOTAL_FUND_DISBURSED_AMT,ACTUAL_AMOUNT,PAYMENT_COUNT,UNIQUE_VENDOR_COUNT,FIRST_EXPENDITURE_DATE,LAST_EXPENDITURE_DATE,ACTUAL_END_DATE,PEER_COUNT,PEER_MEDIAN_SANCTION,PEER_MEAN_SANCTION,PEER_STD_SANCTION,SANCTION_TO_PEER_MEDIAN,SANCTION_PEER_Z_SCORE,RECOMMENDATION_TO_SANCTION_DAYS,SANCTION_TO_FIRST_PAYMENT_DAYS,COMPLETION_BEFORE_LAST_PAYMENT,DATA_COMPLETENESS_RATIO,RULE_FINANCIAL_SCORE,RULE_PAYMENT_SCORE,RULE_TIMELINE_SCORE,RULE_PAYMENT_STATUS_SCORE,RULE_DIVERSITY_BONUS,RULE_CATEGORY_COUNT,RULE_SCORE,RULE_SEVERITY,RULE_TRIGGER_COUNT,STRONG_RULE_COUNT,VERIFICATION_FLAG_COUNT,RULE_CANDIDATE,RULE_FLAGS,RULE_REASONS,RULE_VERIFICATION_NOTES,RULE_SANCTION_ABOVE_2X_PEER,RULE_SANCTION_ABOVE_5X_PEER,RULE_PEER_Z_ABOVE_3,RULE_PEER_Z_ABOVE_5,RULE_ACTUAL_ABOVE_SANCTION,RULE_DISBURSED_ABOVE_SANCTION,RULE_HIGH_PAYMENT_COUNT,RULE_VERY_HIGH_PAYMENT_COUNT,RULE_MULTIPLE_VENDORS,RULE_MANY_VENDORS,RULE_HIGH_PAYMENT_FREQUENCY,RULE_VERY_HIGH_PAYMENT_FREQUENCY,RULE_RECOMMENDATION_BEFORE_SANCTION_VIOLATION,RULE_PAYMENT_BEFORE_SANCTION,RULE_COMPLETION_BEFORE_LAST_PAYMENT,RULE_HIGH_IN_PROGRESS_RATIO,RULE_LOW_DATA_COMPLETENESS
268916,33,Uttar Pradesh,481,BANDA,3042495,KRISHNA DEVI SHIVSHANKER PATEL,Normal/Others,NA-Lighting of public spaces,Vikash khand Karwi ke Nagar Karwi ke muhalla Kushwaha Nagar me Sujeet Singh putra Mata Prasad ke makan ke paas sarwajanik sthan par high mast light sthapna kary                ,Pending for Sanction,586000.0,586000.0,,,,,,,,915,190000.0,431757.0989010989,1505581.5995536544,3.0842105263157893,0.102447387205468,,,0,0.4545454545454546,20.0,0,0.0,0.0,0,1,20.0,LOW,2,0,1,1,RULE_SANCTION_ABOVE_2X_PEER | RULE_LOW_DATA_COMPLETENESS,Sanction amount is more than 2x the median sanction amount of comparable peer works. | More than half of the selected analytical fields are missing; verify the underlying record.,More than half of the selected analytical fields are missing; verify the underlying record.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
298770,33,Uttar Pradesh,481,BANDA,3042495,KRISHNA DEVI SHIVSHANKER PATEL,Normal/Others,NA-Construction of bus-sheds or bus-stops,Vikash khand Baberu ke gram panchayat Miyan Barauli me yatri shade nirman kary ,Pending for Sanction,1400000.0,1400000.0,,,,,,,,24,810000.0,832233.3333333334,122641.88825039832,1.728395061728395,4.629467751731412,,,0,0.4545454545454546,20.0,0,0.0,0.0,0,1,20.0,LOW,2,0,1,1,RULE_PEER_Z_ABOVE_3 | RULE_LOW_DATA_COMPLETENESS,Sanction amount is more than 3 standard deviations above the comparable peer mean. | More than half of the selected analytical fields are missing; verify the underlying record.,More than half of the selected analytical fields are missing; verify the underlying record.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
284139,33,Uttar Pradesh,484,BASTI,3044187,RAM PRASAD CHAUDHARY,Normal/Others,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of a CC road from Khaderu of house in Purva Marwatia in the Belwaria Jungle Gram Panchayat to the house of Barsaati, approximately 200 meters away, Block-Gaur.",Pending for Sanction,1784000.0,1784000.0,,,,,,,,617,867470.0,940765.3647163694,563703.5926003795,2.056555269922879,1.495883024966662,,,0,0.4545454545454546,20.0,0,0.0,0.0,0,1,20.0,LOW,2,0,1,1,RULE_SANCTION_ABOVE_2X_PEER | RULE_LOW_DATA_COMPLETENESS,Sanction amount is more than 2x the median sanction amount of comparable peer works. | More than half of the selected analytical fields are missing; verify the underlying record.,More than half of the selected analytical fields are missing; verify the underlying record.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
284141,33,Uttar Pradesh,484,BASTI,3044187,RAM PRASAD CHAUDHARY,Normal/Others,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of a CC road from the pitch road to Ram Kewal of house in Gram Panchayat Khajuria Mishra, approximately 300 meters, Block- Kaptanganj.",Pending for Sanction,2479000.0,2479000.0,,,,,,,,617,867470.0,940765.3647163694,563703.5926003795,2.857735714203373,2.7288004821606933,,,0,0.4545454545454546,20.0,0,0.0,0.0,0,1,20.0,LOW,2,0,1,1,RULE_SANCTION_ABOVE_2X_PEER | RULE_LOW_DATA_COMPLETENESS,Sanction amount is more than 2x the median sanction amount of comparable peer works. | More than half of the selected analytical fields are missing; verify the underlying record.,More than half of the selected analytical fields are missing; verify the underlying record.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
284142,33,Uttar Pradesh,484,BASTI,3044187,RAM PRASAD CHAUDHARY,Normal/Others,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of a CC road from Siktihwa village to Nagveer on the Maharajganj Dubaulia road, approximately 300 meters away, Block-Dubaulia.",Pending for Sanction,2480000.0,2480000.0,,,,,,,,617,867470.0,940765.3647163694,563703.5926003795,2.858888491821043,2.7305744641134906,,,0,0.4545454545454546,20.0,0,0.0,0.0,0,1,20.0,LOW,2,0,1,1,RULE_SANCTION_ABOVE_2X_PEER | RULE_LOW_DATA_COMPLETENESS,Sanction amount is more than 2x the median sanction amount of comparable peer works. | More than half of the selected analytical fields are missing; verify the underlying record.,More than half of the selected analytical fields are missing; verify the underlying record.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
284147,33,Uttar Pradesh,484,BASTI,3044187,RAM PRASAD CHAUDHARY,Normal/Others,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of a CC road from Raikwar (Sikri) to Kanikapur, approximately 300 meters long, Block-Gaur.",Pending for Sanction,2584000.0,2584000.0,,,,,,,,617,867470.0,940765.3647163694,563703.5926003795,2.9787773640587,2.915068587204396,,,0,0.4545454545454546,20.0,0,0.0,0.0,0,1,20.0,LOW,2,0,1,1,RULE_SANCTION_ABOVE_2X_PEER | RULE_LOW_DATA_COMPLETENESS,Sanction amount is more than 2x the median sanction amount of comparable peer works. | More than half of the selected analytical fields are missing; verify the underlying record.,More than half of the selected analytical fields are missing; verify the underlying record.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
284148,33,Uttar Pradesh,484,BASTI,3044187,RAM PRASAD CHAUDHARY,Normal/Others,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of CC road from Majhowa Dudhnath Gobhiya Marg to Pipra Kapuri Panchayat Bhawan, distance approximately 250 meters, Block-Gaur.",Pending for Sanction,2113000.0,2113000.0,,,,,,,,617,867470.0,940765.3647163694,563703.5926003795,2.4358191061362358,2.07952308743693,,,0,0.4545454545454546,20.0,0,0.0,0.0,0,1,20.0,LOW,2,0,1,1,RULE_SANCTION_ABOVE_2X_PEER | RULE_LOW_DATA_COMPLETENESS,Sanction amount is more than 2x the median sanction amount of comparable peer works. | More than half of the selected analytical fields are missing; verify the underlying record.,More than half of the selected analytical fields are missing; verify the underlying record.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
299527,33,Uttar Pradesh,484,BASTI,3044187,RAM PRASAD CHAUDHARY,Normal/Others,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system","Under Development Block Gaur, construction of approximately 250 meters of CC road from the Dubauala paved road on the Kaptanganj Dubauala route up to beyond the house of Rambhej.",Pending for Sanction,2499000.0,2499000.0,,,,,,,,617,867470.0,940765.3647163694,563703.5926003795,2.8807912665567685,2.764280121216637,,,0,0.4545454545454546,20.0,0,0.0,0.0,0,1,20.0,LOW,2,0,1,1,RULE_SANCTION_ABOVE_2X_PEER | RULE_LOW_DATA_COMPLETENESS,Sanction amount is more than 2x the median sanction amount of comparable peer works. | More than half of the selected analytical fields are missing; verify the underlying record.,More than half of the selected analytical fields are missing; verify the underlying record.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
292235,33,Uttar Pradesh,487,BULANDSHAHR(SC),3019222,Bhola Singh,Normal/Others,NA-Lighting of public spaces,Sidhh baba mandir ke paas 2 high mask light PCCD dwara lgwaw,Pending for Sanction,562200.0,562200.0,,,,,,,,915,190000.0,431757.0989010989,1505581.5995536544,2.9589473684210525,0.0866395425778133,,,0,0.4545454545454546,20.0,0,0.0,0.0,0,1,20.0,LOW,2,0,1,1,RULE_SANCTION_ABOVE_2X_PEER | RULE_LOW_DATA_COMPLETENESS,Sanction amount is more than 2x the median sanction amount of comparable peer works. | More than half of the selected analytical fields are missing; verify the underlying record.,More than half of the selected analytical fields are missing; verify the underlying record.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
219130,33,Uttar Pradesh,436,CHANDAULI,3042499,VIRENDRA SINGH,Normal/Others,NA-Construction of boundary walls of existing public and community buildings,Beautification of land and construction of boundary wall,Pending for Sanction,1900000.0,1900000.0,,,,,,,,10,884447.565,794889.513,519091.76475883176,2.148233626489774,2.128930878942821,,,0,0.4545454545454546,20.0,0,0.0,0.0,0,1,20.0,LOW,2,0,1,1,RULE_SANCTION_ABOVE_2X_PEER | RULE_LOW_DATA_COMPLETENESS,Sanction amount is more than 2x the median sanction amount of comparable peer works. | More than half of the selected analytical fields are missing; verify the underlying record.,More than half of the selected analytical fields are missing; verify the underlying record.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
