WORK_RECOMMENDATION_DTL_ID,RULE_SCORE,STATISTICAL_SCORE,ISOLATION_FOREST_SCORE,RULE_CONTRIBUTION,STATISTICAL_CONTRIBUTION,ML_CONTRIBUTION,HYBRID_RISK_SCORE,DETECTOR_AGREEMENT_COUNT,DETECTOR_AGREEMENT,FINAL_RISK_LEVEL,INVESTIGATION_PRIORITY,EVIDENCE_SUMMARY,RULE_RISK_LEVEL,RULE_ANOMALY_FLAG,RULE_REASON_CODES,RULE_REASONS,DATA_QUALITY_SCORE,STATISTICAL_RISK_LEVEL,STATISTICAL_ANOMALY_FLAG,STATISTICAL_REASON_CODES,STATISTICAL_REASONS,STATISTICAL_CONFIDENCE,ISOLATION_FOREST_RISK_LEVEL,ISOLATION_FOREST_ANOMALY_FLAG,ISOLATION_FOREST_REASON
232919,28.0,40.0,80.58,9.799999999999999,14.0,24.174,47.97,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as highly unusual compared with the overall feature distribution | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,CRITICAL,True,Isolation Forest identified the work as highly unusual compared with the overall feature distribution
156313,28.0,40.0,80.5,9.799999999999999,14.0,24.15,47.95,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as highly unusual compared with the overall feature distribution | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,CRITICAL,True,Isolation Forest identified the work as highly unusual compared with the overall feature distribution
161368,28.0,40.0,77.61,9.799999999999999,14.0,23.282999999999998,47.08,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as unusually different from typical works | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,HIGH,True,Isolation Forest identified the work as unusually different from typical works
200883,28.0,40.0,76.28,9.799999999999999,14.0,22.884,46.68,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as unusually different from typical works | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,HIGH,True,Isolation Forest identified the work as unusually different from typical works
309577,28.0,40.0,75.3,9.799999999999999,14.0,22.59,46.39,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as unusually different from typical works | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,1.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,HIGH,True,Isolation Forest identified the work as unusually different from typical works
209845,28.0,40.0,74.08,9.799999999999999,14.0,22.224,46.02,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as unusually different from typical works | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,HIGH,True,Isolation Forest identified the work as unusually different from typical works
226250,28.0,40.0,74.08,9.799999999999999,14.0,22.224,46.02,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as unusually different from typical works | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,HIGH,True,Isolation Forest identified the work as unusually different from typical works
156766,28.0,40.0,73.59,9.799999999999999,14.0,22.077,45.88,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as unusually different from typical works | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,1.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,HIGH,True,Isolation Forest identified the work as unusually different from typical works
258151,28.0,40.0,73.59,9.799999999999999,14.0,22.077,45.88,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as unusually different from typical works | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,1.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,HIGH,True,Isolation Forest identified the work as unusually different from typical works
262008,28.0,40.0,73.59,9.799999999999999,14.0,22.077,45.88,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as unusually different from typical works | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,1.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,MEDIUM,HIGH,True,Isolation Forest identified the work as unusually different from typical works
