STATE_NAME,TOTAL_WORKS,ML_ANOMALIES,ML_ANOMALY_RATE_PERCENT,FEATURE,ANOMALY_MEDIAN,NORMAL_MEDIAN,NORMAL_STD,STANDARDIZED_DIFFERENCE,ABS_STANDARDIZED_DIFFERENCE
Andhra Pradesh,3709,71,1.9142626044756001,ACTUAL_MINUS_SANCTION,-97721.0,0.0,9002.43581730419,-10.854951035825646,10.854951035825646
Andhra Pradesh,3709,71,1.9142626044756001,AVERAGE_PAYMENT_ABOVE_1M,1.0,0.0,0.16744164051319058,5.9722300673542605,5.9722300673542605
Andhra Pradesh,3709,71,1.9142626044756001,ACTUAL_TO_RECOMMENDED_RATIO,0.8876545,1.0,0.03549274218837267,-3.165309104710542,3.165309104710542
Andhra Pradesh,3709,71,1.9142626044756001,ACTUAL_TO_SANCTION_RATIO,0.8876545,1.0,0.03581434499921114,-3.13688551340181,3.13688551340181
Andhra Pradesh,3709,71,1.9142626044756001,SANCTION_TO_COMPLETION_DAYS,323.0,106.0,79.11664239240866,2.742785758320065,2.742785758320065
Andhra Pradesh,3709,71,1.9142626044756001,PEER_MEDIAN_SANCTION,2000000.0,499013.0,697427.3976208878,2.1521767070239424,2.1521767070239424
Andhra Pradesh,3709,71,1.9142626044756001,IS_COMPLETED,1.0,0.0,0.46631070578499173,2.1444929048253156,2.1444929048253156
Andhra Pradesh,3709,71,1.9142626044756001,HAS_ACTUAL_AMOUNT,1.0,0.0,0.46631070578499173,2.1444929048253156,2.1444929048253156
Andhra Pradesh,3709,71,1.9142626044756001,PEER_MEAN_SANCTION,2000000.0,498787.0,705072.2041962034,2.129162078813493,2.129162078813493
Andhra Pradesh,3709,71,1.9142626044756001,COMPLETION_YEAR,2026.0,2025.0,0.4713691817962078,2.121479380958641,2.121479380958641
Andhra Pradesh,3709,71,1.9142626044756001,SANCTION_AMOUNT,2000000.0,496700.0,738647.7433282259,2.0352055679834287,2.0352055679834287
Andhra Pradesh,3709,71,1.9142626044756001,RECOMMENDED_AMOUNT,2000000.0,496815.0,742522.0267247814,2.0244315264699364,2.0244315264699364
Andhra Pradesh,3709,71,1.9142626044756001,NO_PAYMENT_RECORD,0.0,1.0,0.49774910259452065,-2.0090443052282625,2.0090443052282625
Andhra Pradesh,3709,71,1.9142626044756001,COMPLETION_DURATION_DAYS,356.0,203.0,81.53265733982643,1.8765486737700596,1.8765486737700596
Andhra Pradesh,3709,71,1.9142626044756001,RECOMMENDATION_TO_COMPLETION_DAYS,356.0,203.0,81.53265733982643,1.8765486737700596,1.8765486737700596
Andhra Pradesh,3709,71,1.9142626044756001,REMAINING_SANCTION_AMOUNT,222657.5,0.0,137221.7622199857,1.622610702543295,1.622610702543295
Andhra Pradesh,3709,71,1.9142626044756001,DISBURSED_TO_RECOMMENDED_RATIO,0.8499156462585034,1.0,0.10377958787113319,-1.446183751739906,1.446183751739906
Andhra Pradesh,3709,71,1.9142626044756001,DISBURSED_TO_SANCTION_RATIO,0.8512044897959183,1.0,0.10417045841521451,-1.4283849036258967,1.4283849036258967
Andhra Pradesh,3709,71,1.9142626044756001,REMAINING_SANCTION_RATIO,0.1487955102040816,0.0,0.10417045841521451,1.4283849036258962,1.4283849036258962
Andhra Pradesh,3709,71,1.9142626044756001,AVERAGE_PAYMENT_AMOUNT,1128284.75,454505.5,478737.6573638748,1.4074080859026297,1.4074080859026297
Andhra Pradesh,3709,71,1.9142626044756001,TOTAL_FUND_DISBURSED_AMT,1194234.0,471741.0,514214.07329579967,1.405043225225749,1.405043225225749
Andhra Pradesh,3709,71,1.9142626044756001,PEER_MEDIAN_DISBURSED,1194234.0,471741.0,514214.07329579967,1.405043225225749,1.405043225225749
