WORK_ID,STATE_NAME,CONSTITUENCY,MP_NAME,WORK_CATEGORY,ACTIVITY_NAME,SANCTION_AMOUNT,ACTUAL_AMOUNT,TOTAL_FUND_DISBURSED_AMT,PAYMENT_COUNT,UNIQUE_VENDOR_COUNT,PEER_COUNT,PEER_MEDIAN_SANCTION,SANCTION_TO_PEER_MEDIAN,SANCTION_PEER_Z_SCORE,DATA_COMPLETENESS_RATIO,IF_RAW_SCORE,IF_DECISION_SCORE,ML_PERCENTILE,ML_ANOMALY_STRENGTH,ML_SEVERITY,RULE_AGREEMENT,STATISTICAL_AGREEMENT,DETECTOR_AGREEMENT_COUNT
134984,Uttar Pradesh,SHAHJAHANPUR(SC),Shri Arun Kumar Sagar,Normal/Others,WS/MP492/2024-2025/134984-Lighting of public spaces,37908000.0,37908000.0,37908000.0,9.0,1.0,1,37908000.0,1.0,,0.9090909090909092,-0.6684717340726445,-0.1366936268130687,99.94642019958476,0.6684717340726445,HIGH,True,False,2
216762,Uttar Pradesh,SULTANPUR,RAMBHUAL NISHAD,Normal/Others,WS/MP18242/2025-2026/216762-Street lights,24641199.0,,24137489.0,2.0,2.0,1,24641199.0,1.0,,0.8181818181818181,-0.6683264705787954,-0.1365483633192196,99.94546341743448,0.6683264705787954,HIGH,False,False,1
152353,Haryana,ROHTAK,DEEPENDER SINGH HOODA,Normal/Others,WS/MP18065/2026-2027/152353-Construction of veterinary hospitals and dispensaries,2100000.0,,1697302.0,10.0,2.0,1,2100000.0,1.0,,0.8181818181818181,-0.6682308745106795,-0.1364527672511037,99.9445066352842,0.6682308745106795,HIGH,True,False,2
194809,Uttar Pradesh,SHAHJAHANPUR(SC),Shri Arun Kumar Sagar,Normal/Others,WS/MP492/2025-2026/194809-Lighting of public spaces,40095000.0,40095000.0,40095000.0,10.0,2.0,1,40095000.0,1.0,,0.9090909090909092,-0.6682117548725843,-0.1364336476130085,99.94354985313394,0.6682117548725843,HIGH,True,False,2
258729,Uttar Pradesh,CHANDAULI,VIRENDRA SINGH,Normal/Others,"WS/MP18210/2025-2026/258729-Construction of roads, link roads, pathways or any other road with or without drainage system",5077000.0,,3617548.0,8.0,4.0,1,5077000.0,1.0,,0.8181818181818181,-0.6681923415813837,-0.136414234321808,99.94259307098366,0.6681923415813837,HIGH,True,False,2
149889,Puducherry,Puducherry,Vaithilingam Ve,Normal/Others,"WS/MP710/2025-2026/149889-Construction of roads, link roads, pathways or any other road with or without drainage system",1500000.0,1229867.0,1229867.0,1.0,1.0,1,1500000.0,1.0,,0.9090909090909092,-0.6679374502428468,-0.136159342983271,99.9416362888334,0.6679374502428468,HIGH,True,False,2
161325,Jammu And Kashmir,JAMMU,Shri Jugal Kishore Sharma,Normal/Others,WS/MP331/2024-2025/161325-Construction of additional rooms and halls in the existing public and community building,2500000.0,1958261.0,1958261.0,2.0,2.0,1,2500000.0,1.0,,0.9090909090909092,-0.6677536294292084,-0.1359755221696326,99.94067950668313,0.6677536294292084,HIGH,False,False,1
270403,Rajasthan,JALORE,LUMBARAM,Normal/Others,"WS/MP18166/2026-2027/270403-Construction of roads, link roads, pathways or any other road with or without drainage system",499025.0,,490745.0,9.0,8.0,1,499025.0,1.0,,0.8181818181818181,-0.6676610692413588,-0.135882961981783,99.93972272453286,0.6676610692413588,HIGH,True,True,3
244496,Kerala,THIRUVANANTHAPURAM,Dr Shashi Tharoor,Normal/Others,WS/MP343/2025-2026/244496-Purchase of vans and buses for educational institutions,2700000.0,2350000.0,2350000.0,1.0,1.0,1,2700000.0,1.0,,0.9090909090909092,-0.6675286735883847,-0.135750566328809,99.93876594238256,0.6675286735883847,HIGH,True,False,2
165228,Rajasthan,ALWAR,BHUPENDER YADAV,Normal/Others,WS/MP18159/2024-2025/165228-Development of playground,2800000.0,1727647.0,1727647.0,2.0,1.0,1,2800000.0,1.0,,0.9090909090909092,-0.6675050052823371,-0.1357268980227614,99.9378091602323,0.6675050052823371,HIGH,False,False,1
208657,West Bengal,MEDINIPUR,JUNE MALIAH,Normal/Others,"WS/MP18254/2026-2027/208657-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",5500000.0,,1615346.0,1.0,1.0,1,5500000.0,1.0,,0.8181818181818181,-0.666724580240035,-0.1349464729804592,99.93685237808204,0.666724580240035,HIGH,True,False,2
140154,Rajasthan,AJMER,Bhagirath Chaudhary,Normal/Others,WS/MP719/2024-2025/140154-Construction of community centers and community halls,299612.0,299349.0,299349.0,17.0,16.0,1,299612.0,1.0,,0.9090909090909092,-0.6666033777402413,-0.1348252704806655,99.93589559593175,0.6666033777402413,HIGH,True,True,3
186056,Rajasthan,JHUNJHUNU,BRIJENDRA SINGH OLA,Normal/Others,"WS/MP18167/2025-2026/186056-Construction of roads, link roads, pathways or any other road with or without drainage system",499711.0,487056.0,487056.0,10.0,9.0,1,499711.0,1.0,,0.9090909090909092,-0.6662154167790231,-0.1344373095194473,99.9349388137815,0.6662154167790231,HIGH,True,True,3
182635,Delhi,CHANDINI CHOWK,Praveen Khandelwal,Normal/Others,WS/MP18395/2025-2026/182635-Construction of community centers and community halls,1152610.0,699698.0,699698.0,1.0,1.0,1,1152610.0,1.0,,1.0,-0.6661876193476571,-0.1344095120880813,99.93398203163122,0.6661876193476571,HIGH,False,False,1
136732,Uttar Pradesh,HARDOI (SC),Jai Prakash,Normal/Others,WS/MP792/2024-2025/136732-Lighting of public spaces,8602500.0,8523854.0,8523854.0,6.0,3.0,1,8602500.0,1.0,,0.9090909090909092,-0.664313586543533,-0.1325354792839572,99.93302524948096,0.664313586543533,HIGH,True,False,2
183398,Punjab,ANANDPUR SAHIB,MALVINDER SINGH KANG,Repair and Renovation,"WS/MP18311/2025-2026/183398-Construction of roads, link roads, pathways or any other road with or without drainage system",500000.0,500000.0,500000.0,5.0,5.0,1,500000.0,1.0,,1.0,-0.6638204627386314,-0.1320423554790556,99.93206846733068,0.6638204627386314,HIGH,True,False,2
149935,Puducherry,Puducherry,Vaithilingam Ve,Normal/Others,WS/MP710/2025-2026/149935-Street lights,2000000.0,1968724.0,1968724.0,5.0,4.0,1,2000000.0,1.0,,0.9090909090909092,-0.6636905044829269,-0.1319123972233511,99.9311116851804,0.6636905044829269,HIGH,True,True,3
141027,Punjab,ANANDPUR SAHIB,MALVINDER SINGH KANG,Normal/Others,WS/MP18311/2024-2025/141027-Construction of community centers and community halls,700000.0,,422800.0,8.0,3.0,1,700000.0,1.0,,0.8181818181818181,-0.6628576811345619,-0.1310795738749861,99.93015490303011,0.6628576811345619,HIGH,True,True,3
247099,Maharashtra,NAGPUR,Nitin Jairam Gadkari,Normal/Others,WS/MP672/2026-2027/247099-Construction of community centers and community halls,2500000.0,1965693.0,1965693.0,1.0,1.0,1,2500000.0,1.0,,1.0,-0.6627458708941854,-0.1309677636346096,99.92919812087986,0.6627458708941854,HIGH,False,False,1
214215,Haryana,SONEPAT,SATPAL BRAHAMCHARI,Normal/Others,"WS/MP18067/2025-2026/214215-Construction of roads, link roads, pathways or any other road with or without drainage system",1000000.0,542851.0,542851.0,4.0,4.0,1,1000000.0,1.0,,0.9090909090909092,-0.6621323236624507,-0.1303542164028749,99.92824133872958,0.6621323236624507,HIGH,False,False,1
